player_id,display_name,PC1,PC2,PC3,PC4,PC5,PC6
abdulka01,Kareem Abdul-Jabbar,5.614237749072435,-0.38354337882364925,0.365619779136229,0.41173075770233336,-0.08976151953440525,0.22523352517723036
aldrila01,LaMarcus Aldridge,2.8959386130852,0.15291843549448284,-0.08180972017588542,1.3024696500723785,-0.4218773594952787,-0.006055698976118925
allenra02,Ray Allen,3.387220830169965,0.9729719467155825,0.09095058289513197,0.12874581728321827,0.569088123974079,0.2506541885663993
antetgi01,Giannis Antetokounmpo,6.788646158992401,-1.686301747524146,-0.6878455770485457,0.27813020316876685,-0.7597363623292391,1.0428774796867142
anthoca01,Carmelo Anthony,2.763215097315189,0.2281703695425605,-0.8846285314542943,1.1090909406827512,-0.8897278233323275,0.1041941396804044
architi01,Tiny Archibald,1.698344037785931,0.013697525861498567,-0.610780357465846,0.25230422765452787,0.8230314072812634,0.7833215518702469
barklch01,Charles Barkley,5.928869589582447,0.6690817141707431,-0.3547936572601228,-1.140842595187601,0.197322259546441,0.3094046428936955
barryri01,Rick Barry,4.425390109148947,4.189704441595822,0.4486139435208542,-4.327489387729344,-1.805171870598015,0.7482622282780903
billuch01,Chauncey Billups,2.829302247711324,1.0163325298353918,0.15681247346417035,-0.17327291110714582,0.3959367686054149,0.5532162831512193
birdla01,Larry Bird,6.93981752454128,1.2128186436553627,-0.4758266177477582,-2.0042707423079786,-0.5958725261590048,0.5334358038838838
bookede01,Devin Booker,3.608634164997592,-0.33271906759117176,-1.553527196782668,0.9170895345622126,-0.37266237467913904,0.7367928124177847
boshch01,Chris Bosh,3.6393194781471148,0.7575379127536523,-0.2997663470536473,0.5352258110453102,-0.1712027103366431,0.00865323460592749
bryanko01,Kobe Bryant,5.0524488277429835,-0.3941010294334225,-0.793030826417746,0.49742575175045584,-0.8401266392966618,0.2012062317535831
butleji01,Jimmy Butler,5.1713670638988285,-1.0383393233500298,-0.5487495008845272,0.16330099548381743,0.6190938693342734,-0.5578353166225252
cartevi01,Vince Carter,2.936735585546591,-0.02095874353739405,0.369044539582994,0.16818981642759326,-0.7741913369880089,0.3180898252295608
cowenda01,Dave Cowens,2.0819044189086746,1.2003436114487418,-0.31667031151927455,-0.5142029980591207,-0.08929632555067671,-0.5111903633669139
curryst01,Stephen Curry,4.994094729442621,0.9156818683580744,0.2658698384582891,-0.06888910382772896,-0.022057927487922208,0.21056877836398483
dantlad01,Adrian Dantley,3.925222825261946,0.3437549785859319,-0.5297992351667408,1.2969042686751138,1.122261097281109,0.2502330271536191
daughbr01,Brad Daugherty,4.046665233822799,0.22316207309112338,-1.5776852313568999,-0.019288923269733756,0.5262464272312665,0.47272588337993976
davisan02,Anthony Davis,4.922440857352046,-1.0780877070404502,0.7980139112797658,0.6917080063080747,-1.2350805267996667,-0.1514899475404465
doncilu01,Luka Dončić,6.188767168939421,-0.04821748738951861,-0.90865304269887,0.16584816759398494,-0.8964772063943273,0.8054486645350237
drexlcl01,Clyde Drexler,4.587112465790639,-0.7764547705827165,0.30890527243241833,-0.6411272506563951,-0.4977123213100966,0.07269426318785166
duncati01,Tim Duncan,5.434639453505771,-0.5981520832805078,-0.004586621182021803,0.26099092946470787,-0.7017682736269155,0.8519659131641398
duranke01,Kevin Durant,6.567207376054254,-0.7687378341738524,-0.3539414507963054,0.433874917415445,-0.5540316691851768,1.2466509993731367
embiijo01,Joel Embiid,4.692592489295349,0.24160090879231685,-1.1578913070075023,0.4742897826723471,-1.9321399980372997,0.6201486760678518
englial01,Alex English,3.0526261172860423,-0.27302953933338114,-0.20427814605457995,1.001188764929565,-0.2924184402688139,0.5159436931219274
ervinju01,Julius Erving,6.3564236059482395,-1.8083515879063086,1.4374923035869642,-0.5956119143961515,-1.0831498862234838,0.2444476295252126
ewingpa01,Patrick Ewing,3.8320290197887443,-0.4100747733948119,0.10794518695043644,0.44146403400167245,-0.886354498951917,0.14948687915322378
fraziwa01,Walt Frazier,3.059461981441918,0.5989744994550542,0.4415596890649213,0.7962707309679636,0.12496243577936308,-0.4817274932511088
garneke01,Kevin Garnett,4.733561004356013,-0.709054365136809,-0.4422877293091686,-0.41388539093383736,-0.32871801408607176,-0.08613294294409478
