player_id,display_name,score_l2,score_mahalanobis,score_pca_whitened_l2,rank_l2,rank_mahalanobis,rank_pca_whitened_l2,championships,finals_losses,finals_appearances,playoff_seasons,playoff_performance,playoff_depth_total,team_strength_index,championship_credit,finals_loss_debit,championship_net,max_consecutive_championships,repeat_titles_score,stat_outlier_z,clutch_penalty,score_goat_index,rank_goat_index
reedwi01,Willis Reed,1.071738702677414,3.6705444402371596,0.38462105037181826,1,37,1,2,1,3,8,1.8291378978185726,14.633103182548581,13.261098543761712,2.0,2.9724159226401556,-0.9724159226401556,1.0,2.0,-2.2018581682003826,0.0,0.7249666232958727,6
worthja01,James Worthy,2.261100305956223,2.1774337749773607,1.8950045662286128,8,3,2,3,4,7,11,1.9148562128203692,21.06341834102406,3.329001800506296,3.0,5.8544600048341255,-2.8544600048341255,2.0,3.75,-0.8336089220542722,0.0,2.8940655679205567,39
richmmi01,Mitch Richmond,2.0612881322705117,2.0320781245324966,1.906262032627792,6,1,3,1,0,1,4,1.9686422447609297,7.874568979043719,0.9437044253461595,2.4579980948117814,0.0,2.4579980948117814,1.0,1.0,-1.043086082416844,0.0,1.0459626994436686,8
johnsjo02,Joe Johnson,1.8675429621022959,2.0830877422475687,1.955804745046818,4,2,4,0,1,1,12,1.5324525098477804,18.389430118173365,-2.878788045348053,0.0,0.65,-0.65,0.0,0.0,-1.2786693874772415,0.0,2.1833047450468177,22
thurmna01,Nate Thurmond,1.6441765979724599,3.994767747758035,2.0669608625014315,2,46,5,0,2,2,9,1.567957857800413,14.111620720203717,16.962127552841405,0.0,17.686775615914346,-17.686775615914346,0.0,0.0,-2.0443297943068983,0.0,8.257332328071453,98
howardw01,Dwight Howard,2.7150846221277107,3.6855197350384716,2.1811187776954934,19,39,6,1,1,2,13,1.9247208249851175,25.021370724806527,-4.021869080012798,1.1810103033927697,0.65,0.5310103033927697,1.0,1.0,-0.5455365682407084,0.0,1.995265171508024,16
roberos01,Oscar Robertson,1.7329349352012364,3.148728374034098,2.2251426184695635,3,20,7,1,1,2,10,1.6145048658238843,16.145048658238842,20.332301238218456,1.0,0.65,0.35,1.0,1.0,-1.5783695346543738,0.0,2.1026426184695635,20
parisro01,Robert Parish,2.4630652554129044,2.5323844936934186,2.250885808196225,11,6,8,4,2,6,16,1.7287971931011592,27.660755089618547,0.7761872627704616,4.205947711210877,2.497762366319241,1.708185344891636,1.0,4.0,-0.666373277773708,0.0,1.6530209374841522,9
jamisan01,Antawn Jamison,2.1395057934834925,2.488704299184974,2.288313472890032,7,4,9,0,0,0,7,1.2597883266229635,8.818518286360744,-1.6870004850705822,0.0,0.0,0.0,0.0,0.0,-1.1651870835951252,0.07954725554459036,2.324109737885098,24
cowenda01,Dave Cowens,2.41530087222308,2.98285538453013,2.3206076375838,10,13,10,2,0,2,8,2.726759863647114,21.814078909176914,-0.1245583797136307,6.954660611077419,0.0,6.954660611077419,1.0,2.0,-1.1055854267204324,0.0,-0.1135235762932969,2
architi01,Tiny Archibald,1.9387598634557321,3.240171462726859,2.3663628407828092,5,26,11,1,0,1,6,1.7520206477319944,10.512123886391967,-2.438437647840797,1.2059477112108765,0.0,1.2059477112108765,1.0,1.0,-1.2870512127549047,0.0,1.9442811418590025,13
