player_id,display_name,nearest_neighbor_player_id,nearest_neighbor_similarity,uniqueness
duncati01,Tim Duncan,onealsh01,0.9827710747472248,0.017228925252775196
malonka01,Karl Malone,tatumja01,0.9829319479613893,0.017068052038610726
hardeja01,James Harden,piercpa01,0.9830254958058522,0.01697450419414781
piercpa01,Paul Pierce,hardeja01,0.9830254958058522,0.01697450419414781
mingya01,Yao Ming,duranke01,0.9832219168435399,0.016778083156460122
irvinky01,Kyrie Irving,ewingpa01,0.9839951606936972,0.01600483930630281
bryanko01,Kobe Bryant,doncilu01,0.9844005330196637,0.015599466980336318
doncilu01,Luka Dončić,tatumja01,0.9849641570411775,0.015035842958822543
tatumja01,Jayson Tatum,doncilu01,0.9849641570411775,0.015035842958822543
antetgi01,Giannis Antetokounmpo,duranke01,0.9853012689756738,0.014698731024326173
lillada01,Damian Lillard,nowitdi01,0.9861767489505026,0.013823251049497443
nowitdi01,Dirk Nowitzki,lillada01,0.9861767489505026,0.013823251049497443
ewingpa01,Patrick Ewing,jordami01,0.9862234604427415,0.01377653955725855
jordami01,Michael Jordan,ewingpa01,0.9862234604427415,0.01377653955725855
duranke01,Kevin Durant,onealsh01,0.9880785710981645,0.011921428901835451
onealsh01,Shaquille O'Neal,duranke01,0.9880785710981645,0.011921428901835451
